Rank,Team,W,L,Rating,Link
1,Charlotte Catholic (NC),3,0,99.9,
2,Weddington (NC),3,0,98.39,
3,American Heritage (FL),8,0,97.95,
4,St. Anne's-Belfield (VA),1,1,95.12,
5,Mill Creek (GA),1,0,93.59,
6,Oceanside Collegiate (SC),1,1,93.26,
7,Lake Highland Prep (FL),6,0,92.9,
8,Harrison (GA),1,0,92.8,
9,Charlotte Latin (NC),2,1,92.64,
10,Cardinal Gibbons (NC),2,0,92.48,
11,Bishop England (SC),2,0,92.42,
12,Myers Park (NC),3,1,91.84,
13,Newbury Park (CA),3,0,91.83,
14,St. Francis (CA),1,0,90.85,
15,East Chapel Hill (NC),1,0,90.76,
16,Lake Norman (NC),0,1,90.32,
17,Northwest Guilford (NC),2,1,90.28,
18,J.L. Mann Academy (SC),0,2,90.22,
19,Norfolk Academy (VA),0,2,90.1,
20,Charlotte Country Day (NC),4,1,89.8,
21,Apex (NC),4,0,89.71,
22,Marvin Ridge (NC),1,1,89.54,
23,Hoggard (NC),3,1,89.52,
24,Bluffton (SC),1,0,89.23,
25,Broughton (NC),2,1,89.19,
26,Middle Creek (NC),1,2,89.19,
27,Fort Mill (SC),1,1,89.15,
28,Ronald Reagan (NC),4,0,88.99,
29,West Forsyth (NC),4,0,88.83,
30,Wando (SC),5,1,88.78,
31,May River (SC),1,0,88.59,
32,Pine Crest (FL),1,1,88.5,
33,Aliso Niguel (CA),1,0,88.36,
34,Boca Raton (FL),0,1,88.27,
35,Jupiter (FL),0,1,88.27,
36,Pompano Beach (FL),0,1,88.27,
37,St. Andrew's (FL),0,1,88.27,
38,St. John Paul II (FL),0,1,88.27,
39,Durham Academy (NC),2,1,87.99,
40,Hough (NC),3,1,87.83,
41,Frisco (TX),1,0,87.69,
42,King's Academy (FL),0,1,87.63,
43,Clover (SC),2,0,87.42,
44,Bishop Moore (FL),5,3,87.4,
45,Peachtree Ridge (GA),1,0,86.59,
46,FCA (MD),2,0,86.52,
47,Kinkaid School (TX),2,0,86.52,
48,Lake Brantley (FL),2,0,86.52,
49,Pedro Menendez (FL),7,0,86.48,
50,Wellington (FL),2,0,86.31,
51,St. Paul's SG (MD),1,0,85.94,
52,Oak Hall (FL),0,1,85.81,
53,"Episcopal, Dallas (TX)",3,0,85.69,
54,Topsail (NC),3,0,85.66,
55,Galena Club (NV),2,0,85.4,
56,Winter Park (FL),7,0,85.4,
57,Milton (GA),4,0,85.02,
58,Southlake Carroll (TX),7,1,85.01,
59,Riverside (SC),6,0,85.0,
60,East Forsyth (NC),3,0,84.71,
61,The Gunston School (MD),1,0,84.69,
62,Viera (FL),1,0,84.69,
63,Sanderson (NC),1,1,84.51,
64,Lassiter (GA),1,2,84.47,
65,Cuthbertson (NC),2,1,84.44,
66,Wake Forest (NC),1,1,84.44,
67,Lakeside - Dekalb (GA),0,1,84.35,
68,Flower Mound (TX),0,1,84.34,
69,Christ Church Episcopal (SC),0,0,84.32,
70,Dos Pueblos (CA),2,1,84.15,
71,Holly Springs (NC),3,1,84.05,
72,Ashley (NC),1,2,83.91,
