index,Team,Record,RPI,Projections,1st,2nd,3rd,SOS,vs 1-5,vs 6-10,vs 11-20,vs 21+
1,Tampa,14-1,0.7061,,0.9333,0.6591,0.5730,1,0 - 1,2 - 0,4 - 0,8 - 0
2,Lenoir-Rhyne,12-1,0.6851,,0.9231,0.6295,0.5585,6,2 - 1,2 - 0,1 - 0,7 - 0
3,Adelphi,10-2,0.6835,,0.8333,0.6642,0.5724,5,1 - 1,2 - 1,1 - 0,6 - 0
4,Limestone,14-0,0.6707,,1.0000,0.5649,0.5530,10,1 - 0,1 - 0,2 - 0,10 - 0
5,Pace,10-1,0.6606,,0.9091,0.5788,0.5758,25,0 - 1,1 - 0,1 - 0,8 - 0
6,UIndy,10-3,0.6556,,0.7692,0.6613,0.5306,9,0 - 1,1 - 0,2 - 2,7 - 0
7,Mercy,10-1,0.6528,,0.9091,0.5785,0.5450,22,0 - 1,1 - 0,3 - 0,6 - 0
8,Rollins,11-2,0.6436,,0.8462,0.5716,0.5850,8,1 - 1,0 - 1,1 - 0,9 - 0
9,Bentley,6-4,0.6433,,0.6000,0.7120,0.5493,13,0 - 2,0 - 1,2 - 1,4 - 0
10,Wingate,9-4,0.6384,,0.6923,0.6531,0.5550,2,0 - 3,0 - 0,3 - 1,6 - 0
11,Saint Anselm,8-1,0.6293,,0.8889,0.5156,0.5969,32,0 - 0,1 - 1,2 - 0,5 - 0
12,Mercyhurst,9-3,0.6166,,0.7500,0.6005,0.5156,19,0 - 0,0 - 2,2 - 1,7 - 0
13,Maryville,9-3,0.6164,,0.7500,0.5984,0.5188,26,0 - 0,0 - 1,0 - 1,9 - 1
14,Florida Southern,8-6,0.6091,,0.5714,0.6493,0.5664,3,0 - 2,1 - 1,0 - 0,7 - 3
15,Newberry,10-3,0.5961,,0.7692,0.5380,0.5392,20,0 - 2,1 - 1,0 - 0,9 - 0
16,Rockhurst,9-2,0.5898,,0.8182,0.5178,0.5054,55,0 - 1,1 - 0,0 - 0,8 - 1
17,Frostburg,9-3,0.5873,,0.7500,0.5508,0.4975,46,0 - 0,0 - 2,0 - 1,9 - 0
18,Seton Hill,8-4,0.5860,,0.6667,0.5744,0.5286,28,0 - 1,0 - 2,0 - 1,8 - 0
19,Assumption,5-5,0.5770,,0.5000,0.6381,0.5317,26,0 - 2,0 - 1,0 - 1,5 - 1
20,Westminster (UT),9-2,0.5757,,0.8182,0.4902,0.5041,57,0 - 1,0 - 0,1 - 0,8 - 1
21,Colorado Mesa,8-4,0.5729,,0.6667,0.5618,0.5015,29,0 - 1,0 - 0,1 - 3,7 - 0
22,Lewis,10-3,0.5672,,0.7692,0.4889,0.5219,46,0 - 0,0 - 0,1 - 2,9 - 1
23,Wilmington,7-3,0.5632,,0.7000,0.5415,0.4698,61,0 - 1,0 - 0,0 - 2,7 - 0
24,Florida Tech,5-7,0.5629,,0.4167,0.6385,0.5579,4,0 - 2,0 - 2,1 - 1,4 - 2
25,Saint Leo,7-5,0.5510,,0.5833,0.5307,0.5592,16,0 - 2,0 - 0,1 - 1,6 - 2
26,Lander,9-4,0.5508,,0.6923,0.4998,0.5115,35,0 - 1,0 - 0,0 - 1,9 - 2
27,Mount Olive,9-3,0.5492,,0.7500,0.4775,0.4919,54,0 - 0,0 - 1,0 - 1,9 - 1
28,Roberts Wesleyan,8-5,0.5446,,0.6154,0.5255,0.5120,29,0 - 0,0 - 1,0 - 3,8 - 1
29,Davenport,7-4,0.5413,,0.6364,0.5138,0.5012,55,0 - 0,0 - 1,0 - 2,7 - 1
