rank,team,pr,sos-pr,qwf-pr,champion_%,rpi,sos-rpi,qwf-rpi,selection,gender,division
1,Kansas State ( 4 - 4 ),3,13,4,21 . 0 %,4,14,4,22,boys,D3
2,Oklahoma State ( 3 - 3 ),4,14,5,21 . 0 %,5,4,5,14,boys,D3
3,Sam Houston State ( 5 - 3 ),1,15,3,20 . 50 %,7,8,3,18,boys,D3
4,New Mexico ( 1 - 3 ),5,8,7,10 . 0 %,14,18,8,40,boys,D3
5,Framingham State ( 6 - 2 ),7,3,1,6 . 0 %,1,6,1,8,boys,D3
6,Fitchburg State ( 4 - 3 ),6,7,2,5 . 0 %,2,9,2,13,boys,D3
7,Butler ( 0 - 1 ),8,1,8,4 . 0 %,15,10,9,34,boys,D3
8,Louisiana ( 1 - 3 ),2,12,6,3 . 50 %,3,15,6,24,boys,D3
9,Moorpark ( 2 - 3 ),13,17,13,3 . 50 %,20,17,14,51,boys,D3
10,WPI ( 2 - 5 ),18,6,22,2 . 50 %,9,7,19,35,boys,D3
11,UT-Dallas ( 1 - 8 ),20,9,19,1 . 50 %,6,22,7,35,boys,D3
12,Western Colorado ( 0 - 5 ),21,11,20,0 . 0 %,24,23,21,68,boys,D3
13,TAMU-Corps of Cadets ( 1 - 5 ),19,5,18,0 . 0 %,12,5,17,34,boys,D3
14,Hardin-Simmons ( 0 - 0 ),0,0,0,0 . 0 %,0,0,0,0,boys,D3
15,Houston ( 0 - 0 ),0,0,0,0 . 0 %,0,0,0,0,boys,D3
16,Incarnate Word ( 0 - 0 ),0,0,0,0 . 0 %,0,0,0,0,boys,D3
17,Louisiana Tech ( 0 - 0 ),0,0,0,0 . 0 %,0,0,0,0,boys,D3
18,Santa Barbara CC ( 1 - 4 ),14,16,14,0 . 0 %,21,19,15,55,boys,D3
19,St. Edward's ( 0 - 0 ),0,0,0,0 . 0 %,0,0,0,0,boys,D3
20,TAMU-Corpus Christi ( 0 - 4 ),23,4,21,0 . 0 %,13,1,22,36,boys,D3
21,Tarleton State ( 0 - 5 ),24,2,23,0 . 0 %,8,3,24,35,boys,D3
22,Colorado Springs ( 0 - 0 ),0,0,0,0 . 0 %,0,0,0,0,boys,D3
23,Westfield State ( 0 - 0 ),0,0,0,0 . 0 %,0,0,0,0,boys,D3
24,Worcester State ( 1 - 9 ),22,10,24,0 . 0 %,11,2,23,36,boys,D3
