Rank,Team,W,L,Rating,Link
1,Acalanes (CA),1,0,0.0,
2,Albertus Magnus (NY),1,0,0.0,
3,All Saints Academy (FL),1,0,0.0,
4,Apex Friendship (NC),1,0,0.0,
5,Ardsley (NY),1,0,0.0,
6,Arizona College Prep (AZ),9,0,0.0,
7,Asheville School (NC),1,0,0.0,
8,Baldwin (NY),1,0,0.0,
9,Bel Air (MD),1,0,0.0,
10,Benilde-St. Margaret's (MN),2,0,0.0,
11,Bishop England (SC),15,0,0.0,
12,Bishop's School (CA),1,0,0.0,
13,Blessed Trinity (GA),2,0,0.0,
14,Brooklyn Technical (NY),9,0,0.0,
15,Cape Henlopen (DE),9,0,0.0,
16,Catawba Ridge (SC),1,0,0.0,
17,Central Square (NY),3,0,0.0,
18,Colorado Academy (CO),11,0,0.0,
19,Commack (NY),1,0,0.0,
20,Connetquot (NY),1,0,0.0,
21,Creekview (GA),1,0,0.0,
22,Dobbs Ferry (NY),1,0,0.0,
23,Downingtown West (PA),1,0,0.0,
24,E.A. Laney (NC),1,0,0.0,
25,Fellowship Christian (GA),1,0,0.0,
26,Fox Lane (NY),1,0,0.0,
27,Fuquay-Varina (NC),1,0,0.0,
28,Gerstell Academy (MD),3,0,0.0,
29,Glenn (NC),1,0,0.0,
30,Good Counsel (MD),16,0,0.0,
31,Grand Rapids Catholic Central (MI),7,0,0.0,
32,Green Hope (NC),1,0,0.0,
33,H.B. Plant (FL),1,0,0.0,
34,Harrison (NY),1,0,0.0,
35,Hartland (MI),1,0,0.0,
36,Hereford (MD),6,0,0.0,
37,Heritage (NC),1,0,0.0,
38,Hotchkiss School (CT),1,0,0.0,
39,Indian Hill (OH),2,0,0.0,
40,Indian River (NY),1,0,0.0,
41,J.H. Rose (NC),1,0,0.0,
42,King Philip Regional (MA),6,0,0.0,
43,Lakeville South (MN),1,0,0.0,
44,Langley (VA),1,0,0.0,
45,Liverpool (NY),1,0,0.0,
46,Manchester Valley (MD),7,0,0.0,
47,Maret School (DC),1,0,0.0,
48,Mater Dei (CA),1,0,0.0,
49,Medfield (MA),1,0,0.0,
50,Mepham (NY),1,0,0.0,
51,Meridian (VA),1,0,0.0,
52,MICDS (MO),1,0,0.0,
53,Millbrook (NC),1,0,0.0,
54,Miller Place (NY),1,0,0.0,
55,Mira Costa (CA),1,0,0.0,
56,Moses Brown School (RI),7,0,0.0,
57,Mt. Lebanon (PA),1,0,0.0,
58,Nanuet (NY),1,0,0.0,
59,New Albany (OH),8,0,0.0,
60,New Hanover (NC),1,0,0.0,
61,North Davidson (NC),1,0,0.0,
62,Northwest Guilford (NC),1,0,0.0,
63,Nyack (NY),7,0,0.0,
64,O'Fallon Township (IL),4,0,0.0,
65,Pelham Memorial (NY),1,0,0.0,
66,Phoenixville (PA),1,0,0.0,
67,Pleasant Valley (PA),13,0,0.0,
68,Pleasantville (NY),1,0,0.0,
69,Plymouth-Whitemarsh (PA),1,0,0.0,
70,Queensbury (NY),6,0,0.0,
71,Redondo Union (CA),2,0,0.0,
72,Rockwood Summit (MO),1,0,0.0,
73,Rocky Point (NY),1,0,0.0,
74,Roslyn (NY),1,0,0.0,
75,San Clemente (CA),2,0,0.0,
76,Santa Margarita Catholic School (CA),2,0,0.0,
77,Saugerties (NY),1,0,0.0,
78,Sayville (NY),2,0,0.0,
79,Severna Park (MD),5,0,0.0,
80,Sherwood (MD),6,0,0.0,
81,South Brunswick (NC),1,0,0.0,
82,South Mecklenburg (NC),1,0,0.0,
83,Southeast Guilford (NC),1,0,0.0,
84,St. Anthony's (NY),8,0,0.0,
85,Sts. Peter & Paul (MD),1,0,0.0,
86,Suffern (NY),2,0,0.0,
87,Swansboro (NC),1,0,0.0,
88,The Pingree School (MA ),1,0,0.0,
89,Wakefield (NC),1,0,0.0,
90,Weddington (NC),15,0,0.0,
91,West Brunswick (NC),2,0,0.0,
92,West Forsyth (NC),1,0,0.0,
93,Western Albemarle (VA),1,0,0.0,
94,"Westfield, VA (VA)",1,0,0.0,
95,Whitman (MD),7,0,0.0,
96,Williston Northampton (MA ),1,0,0.0,
97,"Yorktown, VA (VA)",1,0,0.0,
98,American Heritage - Delray (FL),15,1,0.0,
99,St. Anne's-Belfield (VA),15,1,0.0,
100,Episcopal Academy (PA),13,1,0.0,
101,McDonogh School (MD),12,1,0.0,
102,Oceanside Collegiate (SC),12,1,0.0,
103,San Ramon Valley (CA),11,1,0.0,
104,Benet Academy (IL),10,1,0.0,
105,Archbishop Carroll (PA),9,1,0.0,
106,Glenelg (MD),9,1,0.0,
107,Radnor (PA),9,1,0.0,
108,Carmel (IN),8,1,0.0,
109,Frisco (TX),8,1,0.0,
110,Prosper (TX),8,1,0.0,
111,Upper Arlington (OH),8,1,0.0,
112,Kentucky Country Day (KY),15,2,0.0,
113,St. John's (TX),15,2,0.0,
114,Garden City (NY),7,1,0.0,
115,Noble & Greenough (MA ),7,1,0.0,
116,Oak Ridge (CA),14,2,0.0,
117,Park City (UT),7,1,0.0,
118,Sacred Heart Prep (CA),14,2,0.0,
119,Wilton (CT),7,1,0.0,
120,Episcopal Houston (TX),12,2,0.0,
121,Harpeth Hall (TN),12,2,0.0,
122,Portsmouth Abbey (RI),6,1,0.0,
123,Sacred Heart - Greenwich (CT),6,1,0.0,
124,Ursuline School (NY),6,1,0.0,
125,West Genesee (NY),6,1,0.0,
126,Benjamin School (FL),11,2,0.0,
127,Lake Highland Prep (FL),16,3,0.0,
128,Austin (TX),10,2,0.0,
129,C. M. Wright (MD),5,1,0.0,
130,Cicero North Syracuse (NY),5,1,0.0,
131,Galena Club (NV),5,1,0.0,
132,Haslett (MI),5,1,0.0,
133,Maryvale Prep (MD),10,2,0.0,
134,New Canaan (CT),5,1,0.0,
135,Summit (NJ),5,1,0.0,
136,Anderson (TX),9,2,0.0,
137,Sidwell Friends (DC),9,2,0.0,
138,Canyon (TX),8,2,0.0,
139,Chatham (NJ),4,1,0.0,
140,Conestoga (PA),8,2,0.0,
141,Cornwall Central (NY),4,1,0.0,
142,IMG Academy (FL),12,3,0.0,
143,Reagan (TX),8,2,0.0,
144,Ridgewood (NJ),4,1,0.0,
145,Westwood (MA),4,1,0.0,
146,Collegiate School (VA),11,3,0.0,
147,Stone Ridge School of the Sacred Heart (MD),11,3,0.0,
148,Bridge (TX),7,2,0.0,
149,Lake Forest (IL),7,2,0.0,
150,Milton (GA),14,4,0.0,
151,Bishop Ireton (VA),10,3,0.0,
152,Katy (TX),10,3,0.0,
153,Kinkaid (TX),10,3,0.0,
154,Loyola Academy (IL),10,3,0.0,
155,Westlake (TX),10,3,0.0,
156,Cardinal Gibbons (NC),13,4,0.0,
157,West Forsyth (GA),13,4,0.0,
158,Bayport Blue Point (NY),6,2,0.0,
159,Cedar Park (TX),10,3,0.0,
160,Damascus (MD),6,2,0.0,
161,"Lexington, SC (SC)",6,2,0.0,
162,Manheim Township (PA),9,3,0.0,
163,Massapequa (NY),3,1,0.0,
164,Oak Knoll School (NJ),3,1,0.0,
165,Rush Henrietta (NY),3,1,0.0,
