rank,team,w,l,rating,link,gender
1,Charlotte Catholic (NC),3,0,99.9,,girls
2,Weddington (NC),3,0,98.39,,girls
3,American Heritage (FL),8,0,97.95,,girls
4,St. Anne's-Belfield (VA),1,1,95.12,,girls
5,Mill Creek (GA),1,0,93.59,,girls
6,Oceanside Collegiate (SC),1,1,93.26,,girls
7,Lake Highland Prep (FL),6,0,92.9,,girls
8,Harrison (GA),1,0,92.8,,girls
9,Charlotte Latin (NC),2,1,92.64,,girls
10,Cardinal Gibbons (NC),2,0,92.48,,girls
11,Bishop England (SC),2,0,92.42,,girls
12,Myers Park (NC),3,1,91.84,,girls
13,Newbury Park (CA),3,0,91.83,,girls
14,St. Francis (CA),1,0,90.85,,girls
15,East Chapel Hill (NC),1,0,90.76,,girls
16,Lake Norman (NC),0,1,90.32,,girls
17,Northwest Guilford (NC),2,1,90.28,,girls
18,J.L. Mann Academy (SC),0,2,90.22,,girls
19,Norfolk Academy (VA),0,2,90.1,,girls
20,Charlotte Country Day (NC),4,1,89.8,,girls
21,Apex (NC),4,0,89.71,,girls
22,Marvin Ridge (NC),1,1,89.54,,girls
23,Hoggard (NC),3,1,89.52,,girls
24,Bluffton (SC),1,0,89.23,,girls
25,Broughton (NC),2,1,89.19,,girls
26,Middle Creek (NC),1,2,89.19,,girls
27,Fort Mill (SC),1,1,89.15,,girls
28,Ronald Reagan (NC),4,0,88.99,,girls
29,West Forsyth (NC),4,0,88.83,,girls
30,Wando (SC),5,1,88.78,,girls
31,May River (SC),1,0,88.59,,girls
32,Pine Crest (FL),1,1,88.5,,girls
33,Aliso Niguel (CA),1,0,88.36,,girls
34,Boca Raton (FL),0,1,88.27,,girls
35,Jupiter (FL),0,1,88.27,,girls
36,Pompano Beach (FL),0,1,88.27,,girls
37,St. Andrew's (FL),0,1,88.27,,girls
38,St. John Paul II (FL),0,1,88.27,,girls
39,Durham Academy (NC),2,1,87.99,,girls
40,Hough (NC),3,1,87.83,,girls
41,Frisco (TX),1,0,87.69,,girls
42,King's Academy (FL),0,1,87.63,,girls
43,Clover (SC),2,0,87.42,,girls
44,Bishop Moore (FL),5,3,87.4,,girls
45,Peachtree Ridge (GA),1,0,86.59,,girls
46,FCA (MD),2,0,86.52,,girls
47,Kinkaid School (TX),2,0,86.52,,girls
48,Lake Brantley (FL),2,0,86.52,,girls
49,Pedro Menendez (FL),7,0,86.48,,girls
50,Wellington (FL),2,0,86.31,,girls
51,St. Paul's SG (MD),1,0,85.94,,girls
52,Oak Hall (FL),0,1,85.81,,girls
53,"Episcopal, Dallas (TX)",3,0,85.69,,girls
54,Topsail (NC),3,0,85.66,,girls
55,Galena Club (NV),2,0,85.4,,girls
56,Winter Park (FL),7,0,85.4,,girls
57,Milton (GA),4,0,85.02,,girls
